name,sentence_id,order_id,word
1374,ROBERT,142,7,night
1376,NED,143,1,done
1378,NED,143,3,grace
1380,NED,143,5,targaryens
1382,NED,143,7,gone
1387,VISERYS,145,0,daenerys
1388,VISERYS,146,0,daenerys
1389,VISERYS,146,1,there’s
1391,VISERYS,146,3,bride
1394,VISERYS,146,6,look
1396,VISERYS,146,8,gift
1398,VISERYS,146,10,illyrio
1399,VISERYS,146,11,touch
1401,VISERYS,146,13,come
1403,VISERYS,146,15,feel
1405,VISERYS,146,17,fabric
1406,VISERYS,146,18,mmmm
1407,VISERYS,146,19,isn’t
1410,VISERYS,146,22,gracious
1411,VISERYS,146,23,host
1412,DAENERYS,147,0,we’ve
1413,DAENERYS,147,1,been
1415,DAENERYS,147,3,guests
1419,DAENERYS,147,7,year
1421,DAENERYS,147,9,he’s
1422,DAENERYS,147,10,never
1423,DAENERYS,147,11,asked
1430,VISERYS,149,2,write
1432,VISERYS,149,4,history
1435,VISERYS,149,7,reign
1436,VISERYS,149,8,sweet
1437,VISERYS,149,9,sister
1440,VISERYS,149,12,say
1442,VISERYS,149,14,began
1443,VISERYS,149,15,today
1445,MAID,150,1,too
1446,MAID,150,2,hot
1448,MAID,150,4,lady
1449,VISERYS,151,0,where
1452,ILLYRIO,152,0,greets
1455,ILLYRIO,152,3,dothraki
1456,ILLYRIO,152,4,may
1458,ILLYRIO,152,6,present
1460,ILLYRIO,152,8,honored
1461,ILLYRIO,152,9,guests
1462,ILLYRIO,152,10,viserys
1464,ILLYRIO,152,12,house
1465,ILLYRIO,152,13,targaryen
1467,ILLYRIO,152,15,third
1470,ILLYRIO,152,18,name
1472,ILLYRIO,152,20,rightful
1473,ILLYRIO,152,21,king
1476,ILLYRIO,152,24,andals
1479,ILLYRIO,152,27,first
1480,ILLYRIO,152,28,men
1483,ILLYRIO,152,31,sister
1484,ILLYRIO,152,32,daenerys
1487,ILLYRIO,152,35,house
1488,ILLYRIO,152,36,targaryen
1489,ILLYRIO,153,0,come
1490,ILLYRIO,153,1,forward
1492,ILLYRIO,153,3,dear
1493,VISERYS,154,0,where’s
1495,VISERYS,154,2,going
1497,ILLYRIO,155,1,ceremony
1502,VISERYS,156,2,didn’t
1503,VISERYS,156,3,say
1509,ILLYRIO,157,0,trust
1512,ILLYRIO,157,3,grace
1515,ILLYRIO,157,6,didn’t
1518,ILLYRIO,157,9,we’d
1521,ILLYRIO,158,1,won’t
1523,ILLYRIO,158,3,long
1524,ILLYRIO,158,4,now
1525,ILLYRIO,158,5,soon
1528,ILLYRIO,158,8,cross
1530,ILLYRIO,158,10,narrow
1531,ILLYRIO,158,11,sea
