"Team","Pts","FastBreakPts","Opp.FBPts","PointsInPaint","Opp.PiP","PointsOffTO","Opp.PoT","X2ndChancePTS","Opp.2ndCh.PTS","LeadChanges","TimesTied","Season","SeasonType","MatchCount","IsNBAChampion","year"
"New York Knicks",88.72,7.35,7.26,33.63,30.24,15.73,15.5,10.76,10.66,5.13,4.7,"2000-2001","REG",82,0,2001
"Seattle SuperSonics",97.293,14.95,14.4,45.95,39.59,17.72,16.98,14,13.87,6.07,4.99,"2000-2001","REG",82,0,2001
"Orlando Magic",97.463,15.05,13.26,36.37,36.95,18.48,16.17,14.33,14.45,5.98,5.71,"2000-2001","REG",82,0,2001
"Philadelphia 76ers",94.671,16.15,13.46,41.78,36.56,17.74,16.28,14.51,12.59,5.37,5.17,"2000-2001","REG",82,0,2001
"Phoenix Suns",94.024,14.18,13.15,37.32,36.34,18.84,16.11,12.85,12.59,6.22,5.09,"2000-2001","REG",82,0,2001
"Portland Trailblazers",95.415,12.28,11.18,39.46,36.41,16.55,15.77,14.11,12.63,5.23,4.78,"2000-2001","REG",82,0,2001
"Sacramento Kings",101.744,16.49,13.94,43.78,39.39,18,16.13,14.02,13.52,6.32,5.29,"2000-2001","REG",82,0,2001
"San Antonio Spurs",96.171,11.33,12.3,36.59,33.85,15.82,14.93,12.38,11.91,4.91,4.93,"2000-2001","REG",82,0,2001
"Toronto Raptors",97.646,16.63,17.02,34.71,39.56,15.38,14.5,15.51,13.6,6.33,5.46,"2000-2001","REG",82,0,2001
"Utah Jazz",97.061,11.48,10.84,42.37,32.12,17.55,15.9,12.72,12.5,6.23,5.83,"2000-2001","REG",82,0,2001
"Washington Wizards",93.232,12.66,14.54,37.9,42.02,15.7,19.43,14.07,13.29,6.09,5.66,"2000-2001","REG",82,0,2001
"Dallas Mavericks",92.2,14.4,8.8,32.4,43,15.3,13.1,13.5,12.7,4.8,3.9,"2000-2001","POFF",10,0,2001
"Indiana Pacers",87.25,8.25,17,29.5,36,11.5,12,12.75,17.75,7.5,5.75,"2000-2001","POFF",4,0,2001
"Los Angeles Lakers",103.375,13.44,10.38,48.13,35.5,9.94,8.75,16.94,13.38,6,5.25,"2000-2001","POFF",16,1,2001
"Miami Heat",74.667,7.67,19.67,16,36,12.67,22.33,9,13.33,10,3.33,"2000-2001","POFF",3,0,2001
"Milwaukee Bucks",90.333,13.83,11.89,29.44,37.22,9.11,10,12.89,16.17,5.33,4.89,"2000-2001","POFF",18,0,2001
"Minnesota Timberwolves",71,7.5,10.75,22.5,37,15,12,11.25,13.75,10,6.25,"2000-2001","POFF",4,0,2001
"Charlotte Hornets",95.7,14,8.2,34.8,23.6,14,9.2,15.4,10.3,6.6,5.9,"2000-2001","POFF",10,0,2001
"New York Knicks",85.2,6.4,9.4,32,28.4,12.4,15.6,7.6,13.8,6.6,6,"2000-2001","POFF",5,0,2001
"Orlando Magic",102.75,14,22,40,40.5,12.5,14.25,13,19.75,8.5,4.25,"2000-2001","POFF",4,0,2001
"Philadelphia 76ers",92.217,15.13,12.65,35.48,31.04,9,8.17,17.17,12.91,4.78,4,"2000-2001","POFF",23,0,2001
"Phoenix Suns",88.5,14,13.75,30,37.5,18.5,14.5,9.75,20.25,5.75,6.5,"2000-2001","POFF",4,0,2001
"Portland Trailblazers",89,10.33,14.33,30,50,13.67,17.33,8.67,19,7.67,5.33,"2000-2001","POFF",3,0,2001
"Sacramento Kings",97.625,13.5,13.75,38.5,39.5,16,18.13,17.75,13.5,6.38,7,"2000-2001","POFF",8,0,2001
"San Antonio Spurs",91.538,9.23,12.62,38.77,36,10.54,13.31,12.15,14.92,5.08,4.15,"2000-2001","POFF",13,0,2001
"Toronto Raptors",92.167,11.58,14.92,28,31.83,13.92,13.67,13.92,12.58,4.08,4,"2000-2001","POFF",12,0,2001
"Utah Jazz",89.6,7.4,12.8,42.8,29.6,14.2,15.2,13,12,5.8,3.8,"2000-2001","POFF",5,0,2001
"Atlanta Hawks",94.037,14.83,16.71,39.83,40.66,17.11,17.83,12.04,13.76,5.35,4.88,"2001-2002","REG",82,0,2002
"Boston Celtics",96.354,12.45,12.54,35.37,30.78,16.85,15.11,12.2,13.56,6.01,5.52,"2001-2002","REG",82,0,2002
"Chicago Bulls",89.451,11.32,11.52,33.22,37.63,15.05,16.37,12.06,13.33,5.95,5.02,"2001-2002","REG",82,0,2002
"Cleveland Cavaliers",95.268,11.72,13.02,34.15,39.71,13.78,16.56,13.17,13.38,5.52,5.43,"2001-2002","REG",82,0,2002
"Dallas Mavericks",105.232,16.02,13.65,39.44,43.54,16.23,14.34,12.63,15.09,6.07,6.18,"2001-2002","REG",82,0,2002
"Denver Nuggets",92.183,13.91,15.32,38.56,41.15,15.23,16.82,14.68,14.67,6.18,5.26,"2001-2002","REG",82,0,2002
"Detroit Pistons",94.329,12.02,11.24,34.59,36.02,17.07,16.15,12.24,13.21,6.34,4.82,"2001-2002","REG",82,0,2002
"Golden State Warriors",97.671,14.7,14.32,46,46,16.55,18.7,16.83,14.62,6.63,5.67,"2001-2002","REG",82,0,2002
"Houston Rockets",92.341,8.98,12.71,34.68,41.46,13.44,16.22,12.77,14.38,6.17,5.83,"2001-2002","REG",82,0,2002
"Indiana Pacers",96.805,15.73,13.79,37.12,39.07,15.49,15.65,14.09,14.72,6.49,5.35,"2001-2002","REG",82,0,2002
"Los Angeles Clippers",95.683,9.87,10.04,43.34,42.05,14.54,16,15.63,15.3,6.62,5.72,"2001-2002","REG",82,0,2002
"Los Angeles Lakers",101.268,10.68,10.72,43.56,36.85,15.65,13.87,14.93,14.59,5.65,5.33,"2001-2002","REG",82,1,2002
"Memphis Grizzlies",89.902,11.66,14.28,39.34,43.49,15.09,17.91,13.71,14.07,5.59,5.41,"2001-2002","REG",82,0,2002
"Miami Heat",87.195,9.56,11.37,33.05,33.39,14.16,16.49,12.37,12.04,5.99,5.13,"2001-2002","REG",82,0,2002
"Milwaukee Bucks",97.512,12.29,11.95,33,36.95,14.52,15.96,11.91,13.82,5.83,5.1,"2001-2002","REG",82,0,2002
"Minnesota Timberwolves",99.329,12.85,11.66,38.17,37.9,15.26,15.48,15.54,13.73,6.32,5.78,"2001-2002","REG",82,0,2002
"New Jersey Nets",96.207,17.41,10.78,42.68,35.24,17.56,14.63,14,13.01,5.16,5.11,"2001-2002","REG",82,0,2002
"Charlotte Hornets",93.902,12.63,12.3,37.63,36.29,15.32,14.84,13.84,14.33,6.55,5.78,"2001-2002","REG",82,0,2002
"New York Knicks",91.634,9.59,11.09,32.98,38,14.26,17.2,12.71,13.49,5.71,4.63,"2001-2002","REG",82,0,2002
"Seattle SuperSonics",97.732,12.06,13.07,41.83,38.41,17.79,15.38,13.44,14.74,6.21,5.59,"2001-2002","REG",82,0,2002
"Orlando Magic",100.488,14.98,14.71,37.95,41.95,17.46,14.71,13.2,14.94,5.41,5.17,"2001-2002","REG",82,0,2002
"Philadelphia 76ers",90.988,13.71,13.44,38.88,33.29,16.17,15.51,14.59,11.85,5.66,4.85,"2001-2002","REG",82,0,2002
"Phoenix Suns",95.146,12.39,11.72,43.34,38.15,16.23,16.28,14.89,14.48,5.34,5.84,"2001-2002","REG",82,0,2002
"Portland Trailblazers",96.646,12.98,12.61,38.27,36.78,17.18,15.43,14.88,12.59,6.52,5.67,"2001-2002","REG",82,0,2002
"Sacramento Kings",104.61,16.99,12.83,43.29,41.49,17.35,14.85,14.74,14.54,5.09,4.77,"2001-2002","REG",82,0,2002
"San Antonio Spurs",96.732,11.65,12.48,41.29,37.32,17.09,15.15,13.37,13.94,5.32,4.35,"2001-2002","REG",82,0,2002
"Toronto Raptors",91.39,16.5,16.21,35.37,35.39,15.71,15.4,15.2,13.46,6.21,5.45,"2001-2002","REG",82,0,2002
"Utah Jazz",95.988,12.49,11.83,40.24,34.83,18.85,17.34,15.32,12.79,5.89,5.7,"2001-2002","REG",82,0,2002
"Washington Wizards",92.793,8.48,12.55,32.61,35.98,14.39,15.22,14.78,13.32,6.12,6.13,"2001-2002","REG",82,0,2002
"Boston Celtics",91.25,9.38,12.56,33.75,29.63,15.06,13,12.94,11.31,4.38,4.69,"2001-2002","POFF",16,0,2002
"Dallas Mavericks",109,16,17.5,40.5,50,15.88,14.13,13.75,19.25,6.5,7.13,"2001-2002","POFF",8,0,2002
"Detroit Pistons",83,14,11.1,26.4,33,15.7,16.5,11.8,12.4,5,4.9,"2001-2002","POFF",10,0,2002
"Indiana Pacers",91.6,11.2,15.8,29.6,40.8,17.2,17.2,6.6,15,11.8,8.6,"2001-2002","POFF",5,0,2002
"Los Angeles Lakers",97.842,8.53,8.53,43.37,37.16,15.32,15.32,16.11,13.26,7.16,6.58,"2001-2002","POFF",19,1,2002
"Minnesota Timberwolves",102,18.33,14.33,41.33,30.67,8.67,17,21.33,11,9,8,"2001-2002","POFF",3,0,2002
"New Jersey Nets",95.35,14.2,10.85,39.8,36.1,15.7,15.85,14.45,12.15,6.6,5.7,"2001-2002","POFF",20,0,2002
"Charlotte Hornets",96.111,13.11,14.11,39.56,36.22,16.67,15.44,16,14.11,7.56,6.56,"2001-2002","POFF",9,0,2002
"Seattle SuperSonics",86.2,9.4,12,34.8,43.6,7.4,10.8,11.8,12,6.2,4.8,"2001-2002","POFF",5,0,2002
"Orlando Magic",93.75,14,12.75,31,38,14.75,14,12,16.5,5.25,4.75,"2001-2002","POFF",4,0,2002
"Philadelphia 76ers",89,11.8,7.8,27.2,32,14,13.6,12,14.2,7.4,7.4,"2001-2002","POFF",5,0,2002
"Portland Trailblazers",91.333,10.67,13,35.33,41.33,14.67,18.33,13.67,13.67,6,7,"2001-2002","POFF",3,0,2002
"Sacramento Kings",101.063,12.38,11.94,42.13,42,16.5,16.88,14.5,16.69,6.31,5.88,"2001-2002","POFF",16,0,2002
"San Antonio Spurs",91.1,8.7,8.1,38.6,40.8,11.2,11,10.4,14.3,7.4,6.4,"2001-2002","POFF",10,0,2002
"Toronto Raptors",83.8,13.2,18,30,30.4,15.8,16.8,13.8,12.6,5,4.4,"2001-2002","POFF",5,0,2002
"Utah Jazz",88,11.25,13,36,32.5,20.25,17.75,15,11,4.75,4.25,"2001-2002","POFF",4,0,2002
"Atlanta Hawks",94.073,12.68,13.18,35,39.07,14.26,19.06,13.27,14.71,5.56,4.99,"2002-2003","REG",82,0,2003
"Boston Celtics",92.671,8.88,11.13,34.46,31.78,18.21,16.16,11.78,13.46,6.11,4.87,"2002-2003","REG",82,0,2003
"Chicago Bulls",94.951,12.24,12.6,44,39.12,15.13,18.68,13.72,14.27,5.17,5.15,"2002-2003","REG",82,0,2003
"Cleveland Cavaliers",91.402,14.07,16.26,39.37,39.49,15.24,20.48,14.85,13.11,5.79,5.59,"2002-2003","REG",82,0,2003
"Dallas Mavericks",102.976,14.27,12.29,38,38.49,17.95,12.5,13.55,14.28,6.73,5.12,"2002-2003","REG",82,0,2003
"Denver Nuggets",84.159,11.26,13.88,37.22,35.02,16.7,19.51,13.84,11.35,6.06,5,"2002-2003","REG",82,0,2003
"Detroit Pistons",91.366,10.21,10.12,31.54,33.95,16.3,15.18,11.63,11.66,6.04,5.51,"2002-2003","REG",82,0,2003
"Golden State Warriors",102.439,13.82,14.12,42.56,44.49,14.9,18.35,17.22,16.02,6.37,5.63,"2002-2003","REG",82,0,2003
"Houston Rockets",93.756,11.48,10.73,38.44,34.83,15.17,16.62,13.79,13.18,5.8,4.89,"2002-2003","REG",82,0,2003
"Indiana Pacers",96.829,14.63,13.73,38.34,37.85,16.72,16.41,14,13.7,6.91,6.02,"2002-2003","REG",82,0,2003
"Los Angeles Clippers",93.817,11.83,9.87,42.8,40.39,15.06,17.48,13.73,14.84,6.39,5.06,"2002-2003","REG",82,0,2003
"Los Angeles Lakers",100.366,10.46,11.85,41.2,37.71,15.82,16.02,15.34,13.8,7.46,6.17,"2002-2003","REG",82,0,2003
"Memphis Grizzlies",97.5,16.12,13.82,41.34,45.51,16.07,16.87,13.8,15.37,6.71,5.49,"2002-2003","REG",82,0,2003
"Miami Heat",85.561,9.89,10.39,31.51,35.34,14.84,15.07,12.84,11.88,4.83,5,"2002-2003","REG",82,0,2003
"Milwaukee Bucks",99.488,12.37,11.87,36.37,38.49,16.32,14.63,12.37,14.98,6.57,6.29,"2002-2003","REG",82,0,2003
"Minnesota Timberwolves",98.122,12.43,11.66,38.24,38.17,15.63,15.04,14.44,13.77,5.78,5,"2002-2003","REG",82,0,2003
"New Jersey Nets",95.366,18.67,10.89,41.27,34.22,18.38,15.68,13.82,12.29,6.01,4.78,"2002-2003","REG",82,0,2003
"New Orleans Hornets",93.89,11.15,12.02,36.1,38.63,16.52,15.98,15.61,13.17,6.35,5.95,"2002-2003","REG",82,0,2003
"New York Knicks",95.854,8.4,10.35,29.63,41.44,15.5,15.91,12.23,12.85,7.09,5.73,"2002-2003","REG",82,0,2003
"Seattle SuperSonics",92.134,11.59,12.55,36.07,36.24,17.34,15.12,13.2,13.1,6.17,4.91,"2002-2003","REG",82,0,2003
"Orlando Magic",98.512,12.7,12.55,32.68,40.51,17.95,15.45,13.17,14.04,6.2,5.67,"2002-2003","REG",82,0,2003
"Philadelphia 76ers",96.841,15.46,13.73,45.12,36.8,19.72,16.32,14.3,12.35,6.21,6.24,"2002-2003","REG",82,0,2003
"Phoenix Suns",95.537,10.98,10.43,41.07,39.1,18.11,15.28,14.2,15.17,7.24,5.5,"2002-2003","REG",82,0,2003
"Portland Trailblazers",95.159,12.23,12.87,43.17,38.05,17.71,17.32,13.5,13.27,6.46,5.76,"2002-2003","REG",82,0,2003
"Sacramento Kings",101.732,14.02,12.37,40.73,38.22,17.41,15.67,12.35,14.57,6.06,5.6,"2002-2003","REG",82,0,2003
"San Antonio Spurs",95.805,11.78,12.16,43.46,37.49,16.37,16.76,12.68,14.04,6.44,5.32,"2002-2003","REG",82,1,2003
"Toronto Raptors",90.89,15.15,18.34,34.95,43.2,14.1,15.99,14.13,14.2,6.41,5.62,"2002-2003","REG",82,0,2003
"Utah Jazz",94.659,11.66,11.73,39.22,35.2,17.93,17.72,13.73,12.91,5.51,5.91,"2002-2003","REG",82,0,2003
"Washington Wizards",91.488,8.71,11.63,30.61,35.68,15.18,15.28,12.89,13.66,5.6,5.02,"2002-2003","REG",82,0,2003
"Boston Celtics",94.6,8.4,14.6,33.2,32.8,15.9,15.5,10.5,13,6.4,3.9,"2002-2003","POFF",10,0,2003
"Dallas Mavericks",104.1,15,12.75,39.4,44.2,16.45,15.4,12.25,14.55,6.05,5.1,"2002-2003","POFF",20,0,2003
"Detroit Pistons",89.941,7.35,13.35,27.88,36,17.53,14.53,12.82,13.29,5.18,4.65,"2002-2003","POFF",17,0,2003
"Indiana Pacers",91.167,11.33,10.33,33,30.33,12.67,14.83,14.5,10.17,3.5,2.33,"2002-2003","POFF",6,0,2003
"Los Angeles Lakers",100.25,9.08,10,39.5,39.17,15.5,16.42,14.83,10.92,4.5,4.17,"2002-2003","POFF",12,0,2003
"Milwaukee Bucks",97.833,10.67,11.83,36,44.33,17.83,15,9.17,16.83,8.67,7.33,"2002-2003","POFF",6,0,2003
"Minnesota Timberwolves",100.5,8.17,9.33,33.33,42.33,14.67,18.67,10.67,17.17,5.67,5.5,"2002-2003","POFF",6,0,2003
"New Jersey Nets",93.65,17,7.8,39.5,35.2,16.35,16.35,14.6,11.05,8.4,6.35,"2002-2003","POFF",20,0,2003
"New Orleans Hornets",92.833,11.17,13.83,36.67,36,18.5,17.33,14.5,14.17,8,7.33,"2002-2003","POFF",6,0,2003
"Orlando Magic",87.571,10.71,8.29,30.29,27.43,14.57,19.14,11,15.71,4.29,2.86,"2002-2003","POFF",7,0,2003
"Philadelphia 76ers",92.083,11.75,9.92,36.5,32.67,16,18.25,15.17,13.58,6.75,6.33,"2002-2003","POFF",12,0,2003
"Phoenix Suns",85.167,8.33,8.83,37,34.67,16.5,17.83,13.33,16,4.33,4.33,"2002-2003","POFF",6,0,2003
"Portland Trailblazers",101.286,11.29,14.29,41.43,38.57,13.57,17.43,18.29,13.71,7.57,7.29,"2002-2003","POFF",7,0,2003
"Sacramento Kings",107.917,15.67,13,43.83,41.5,15.83,15.42,13.75,16.25,5.33,4.5,"2002-2003","POFF",12,0,2003
"San Antonio Spurs",94.792,10.13,12.13,40.67,36,17.33,15.38,13.96,12.67,5.04,4,"2002-2003","POFF",24,1,2003
"Utah Jazz",93,9.4,15.2,37.2,40.4,14.6,16.6,19.8,16.8,4.6,5,"2002-2003","POFF",5,0,2003
"Atlanta Hawks",92.817,12.18,13.66,37.2,39.95,17.77,15.26,13.04,13.99,6.44,5.59,"2003-2004","REG",82,0,2004
"Boston Celtics",95.256,11.89,12.1,35.15,35.51,17.67,18.1,12.2,14.68,6.09,4.99,"2003-2004","REG",82,0,2004
"Chicago Bulls",89.695,10.4,11.95,34.54,36.51,17.18,14.76,13.7,13.17,5.79,5.09,"2003-2004","REG",82,0,2004
"Cleveland Cavaliers",92.915,12.94,13.13,41.88,38.07,15.67,14.27,15.73,13.44,6.55,5.87,"2003-2004","REG",82,0,2004
"Dallas Mavericks",105.195,17.54,14.39,45.39,43.98,13.95,17.41,15.9,13.2,5.83,5.3,"2003-2004","REG",82,0,2004
"Denver Nuggets",97.22,19.82,13.99,41.93,42.9,16.17,18.22,13.29,14.27,5.24,5.2,"2003-2004","REG",82,0,2004
"Detroit Pistons",90.098,12.27,10.32,38.68,33.68,15.12,15.88,12.4,12.67,6.13,4.56,"2003-2004","REG",82,1,2004
"Golden State Warriors",93.28,8.65,12.2,40.49,38.73,14.68,15.12,13.5,13.39,6.3,5.15,"2003-2004","REG",82,0,2004
"Houston Rockets",89.78,7.8,10.26,32.93,30.29,16.73,14.43,11.7,12.41,6.39,5.23,"2003-2004","REG",82,0,2004
"Indiana Pacers",91.378,10.78,11.66,35.32,35.59,14.7,16.7,13.51,11.33,5.07,4.7,"2003-2004","REG",82,0,2004
"Los Angeles Clippers",94.768,9.01,11.1,42.46,42.66,18.63,14.51,16.43,14.44,5.6,4.89,"2003-2004","REG",82,0,2004
"Los Angeles Lakers",98.195,11.29,10.99,43.98,37.66,14.27,16.24,13.94,13.06,6.66,5.5,"2003-2004","REG",82,0,2004
"Memphis Grizzlies",96.707,16.35,13.1,44.68,41.39,15.54,19.09,14.11,14.99,6.27,5.57,"2003-2004","REG",82,0,2004
"Miami Heat",90.268,12.45,9.94,35.24,33.51,14.57,15.94,13.13,12.24,6.27,5.12,"2003-2004","REG",82,0,2004
"Milwaukee Bucks",98.037,12.6,13.12,41,40.51,14.71,14.7,13.06,13.37,6.37,5.49,"2003-2004","REG",82,0,2004
"Minnesota Timberwolves",94.549,10.89,10.98,32.44,35.27,13.05,14.71,12.37,13.05,6.4,5.61,"2003-2004","REG",82,0,2004
"New Jersey Nets",90.256,15.52,10.93,38.63,33.07,15.72,16,11.2,11.45,5.39,5.12,"2003-2004","REG",82,0,2004
"New Orleans Hornets",91.817,12.85,11.51,34.46,37.37,16.84,16.49,14.57,13.13,6.45,4.54,"2003-2004","REG",82,0,2004
"New York Knicks",91.976,8.78,10.66,34.46,34.63,16.05,13.93,12.27,12.66,5.68,5.05,"2003-2004","REG",82,0,2004
"Seattle SuperSonics",97.122,13.13,13.45,36.07,39,16.88,16.74,12.72,15.2,5.91,4.94,"2003-2004","REG",82,0,2004
"Orlando Magic",94.037,10.8,14.15,33.49,44.76,16.63,15.16,14.12,15.37,6.66,6.24,"2003-2004","REG",82,0,2004
"Philadelphia 76ers",87.988,13.37,11.89,35.76,36.54,16.88,14.95,12.07,13.28,5.93,4.78,"2003-2004","REG",82,0,2004
"Phoenix Suns",94.183,13.16,11.17,42.44,39.9,16.5,17.13,12.24,15.06,5.72,5,"2003-2004","REG",82,0,2004
"Portland Trailblazers",90.732,10.59,12.16,39.83,38.93,16.35,15.07,14.41,13.77,6.2,5.54,"2003-2004","REG",82,0,2004
"Sacramento Kings",102.841,12.2,13.23,36.76,42.61,15.52,16.95,12.71,14.17,5.82,4.88,"2003-2004","REG",82,0,2004
"San Antonio Spurs",91.476,9.3,10.63,39.44,36.39,14.07,16.18,14.12,11.88,5.34,4.35,"2003-2004","REG",82,0,2004
"Toronto Raptors",85.439,9.29,11.34,30.32,37.73,14.63,15.22,11.29,13.87,6.35,5.78,"2003-2004","REG",82,0,2004
"Utah Jazz",88.671,11.82,11.52,35.88,32.24,16.68,16.76,14.18,11.74,5.28,4.68,"2003-2004","REG",82,0,2004
"Washington Wizards",91.841,13.71,15.88,38.59,40.02,19.72,17,15.02,13.67,5.5,4.6,"2003-2004","REG",82,0,2004
"Boston Celtics",84.5,19,11.25,30.5,40.5,21.75,14.5,9,17.25,5.75,5.5,"2003-2004","POFF",4,0,2004
"Dallas Mavericks",99.6,13.8,10.8,44.8,44,14.8,15.2,20.2,13.8,9,8.2,"2003-2004","POFF",5,0,2004
"Denver Nuggets",90.6,14,11.8,39.2,28,16.8,20.6,13.6,10.8,2.4,4,"2003-2004","POFF",5,0,2004
"Detroit Pistons",87.087,11.83,11.65,34.78,33.22,14.43,16.57,12.96,10.74,5.61,5.22,"2003-2004","POFF",23,1,2004
"Houston Rockets",84.6,8.8,11.8,34.4,37.2,17.4,10.2,10,9.8,8.4,7.4,"2003-2004","POFF",5,0,2004
"Indiana Pacers",85.5,7.88,12.44,33.63,29.38,13.63,14.13,13.31,9.94,5.31,5.13,"2003-2004","POFF",16,0,2004
"Los Angeles Lakers",88.136,9.05,10.14,38,32.36,14,14.64,10.59,12.73,6.91,5.45,"2003-2004","POFF",22,0,2004
"Memphis Grizzlies",83.5,10.75,7,40.5,41,17,16.25,10.75,13.25,3.75,4.25,"2003-2004","POFF",4,0,2004
"Miami Heat",84.538,12.54,6.92,32.62,31.08,13.38,14.31,10.92,13.23,5.15,4.69,"2003-2004","POFF",13,0,2004
"Milwaukee Bucks",85.6,11,16.4,33.2,43.6,20.4,13.2,10.4,13,5.4,4.2,"2003-2004","POFF",5,0,2004
"Minnesota Timberwolves",91.944,10,10.44,28.11,34.11,15.78,14.61,14,12.72,4.06,5,"2003-2004","POFF",18,0,2004
"New Jersey Nets",88.182,18.45,8.09,36.91,33.45,18.73,17.82,11.64,14,5.45,5.55,"2003-2004","POFF",11,0,2004
"New Orleans Hornets",79.714,6.71,13.14,27.43,33.71,14.57,14.43,13.14,12,3.71,4.14,"2003-2004","POFF",7,0,2004
"New York Knicks",84,6,19.5,33.5,43.5,18,20.25,15.5,12.25,7.25,7,"2003-2004","POFF",4,0,2004
"Sacramento Kings",95.167,10.67,11.83,35.17,35.83,14.08,15.33,13.25,18.08,6.67,7.08,"2003-2004","POFF",12,0,2004
"San Antonio Spurs",89.3,8.6,8.9,35.6,39.4,15.3,16.1,12.5,10.4,4.9,3.6,"2003-2004","POFF",10,0,2004
"Atlanta Hawks",92.744,11.67,13.13,43.68,41.2,16.91,14.63,14.27,13.55,6.02,5.34,"2004-2005","REG",82,0,2005
"Boston Celtics",101.268,14.76,12.3,43.51,39.41,17.04,15.94,12.46,15.02,7.33,6.49,"2004-2005","REG",82,0,2005
"Charlotte Bobcats",94.256,10.67,13.89,36.98,40.51,16.2,14.78,15.61,13.09,7.09,6.61,"2004-2005","REG",82,0,2005
"Chicago Bulls",94.451,9.88,10.32,36.76,33.27,15.44,15.54,14.12,12.63,6.71,5.9,"2004-2005","REG",82,0,2005
"Cleveland Cavaliers",96.512,12.7,12.56,42.07,37.93,14.24,15.45,15.06,13.24,6.57,5.72,"2004-2005","REG",82,0,2005
"Dallas Mavericks",102.5,14.84,13.56,38.85,39.54,13.63,15.5,13.56,14.56,5.93,5.49,"2004-2005","REG",82,0,2005
"Denver Nuggets",99.524,19.22,12.99,43.76,38.8,14.72,14.74,13.62,13.72,6.11,5.38,"2004-2005","REG",82,0,2005
"Detroit Pistons",93.329,12.63,12.32,36.2,35.15,14.06,13.18,13.82,12.38,6.21,5.15,"2004-2005","REG",82,0,2005
"Golden State Warriors",98.707,13.68,12.98,37.32,43.17,13.28,12.87,14.06,14.91,7.11,6.2,"2004-2005","REG",82,0,2005
"Houston Rockets",95.073,9.4,10.17,32.32,31.12,13.87,12.93,13.32,11.57,5.44,5.2,"2004-2005","REG",82,0,2005
"Indiana Pacers",93,8.17,10.67,32.34,34.93,13.54,13.26,12.61,12.51,6.71,5.85,"2004-2005","REG",82,0,2005
"Los Angeles Clippers",95.72,8.88,9.66,39.76,39.46,15.66,12.3,13.67,13.05,6.78,6.17,"2004-2005","REG",82,0,2005
"Los Angeles Lakers",98.72,11.91,13.01,39.29,39.15,15.7,10.85,13.71,14.79,7.17,5.93,"2004-2005","REG",82,0,2005
"Memphis Grizzlies",93.427,11.37,12.17,40.12,34.29,14.45,14.94,12.07,14.01,6.13,5.26,"2004-2005","REG",82,0,2005
"Miami Heat",101.549,11.66,11.48,43.17,34.22,13.96,12.66,12.55,12.89,6.44,6.34,"2004-2005","REG",82,0,2005
"Milwaukee Bucks",97.232,10.59,14.74,38.76,41.9,14.93,12.85,14.04,13.72,7.26,6.27,"2004-2005","REG",82,0,2005
"Minnesota Timberwolves",96.756,11.26,11.49,33.12,38.59,13.8,10.52,13.05,13.67,5.77,5.74,"2004-2005","REG",82,0,2005
"New Jersey Nets",91.415,10.7,11.24,31.15,31.88,14.46,16.35,12,12.62,5.82,5.24,"2004-2005","REG",82,0,2005
"New Orleans Hornets",88.439,10.21,11.61,32.56,36.54,0.18,11.9,13.66,13.46,6,5.3,"2004-2005","REG",82,0,2005
"New York Knicks",97.28,9.38,12.21,37.37,39.98,15.26,13.46,14.46,13.72,6.91,6,"2004-2005","REG",82,0,2005
"Seattle SuperSonics",98.939,9.76,12.09,36.88,39.78,13.67,12.77,15.68,13.61,6.54,5.15,"2004-2005","REG",82,0,2005
"Orlando Magic",99.512,18.06,14.71,39.61,40.9,17.35,15.51,13.79,14.17,6.72,6.15,"2004-2005","REG",82,0,2005
"Philadelphia 76ers",99.122,14.84,10.09,39.8,35.05,14.55,16.62,11.63,13.35,6.65,6.18,"2004-2005","REG",82,0,2005
"Phoenix Suns",110.415,16.85,13.59,42.76,43.56,2.46,14.38,14.98,16.45,7.16,5.7,"2004-2005","REG",82,0,2005
"Portland Trailblazers",92.939,13.37,14.27,42.29,41.63,16.45,12.68,13.61,15.8,7.3,5.77,"2004-2005","REG",82,0,2005
"Sacramento Kings",103.72,12.02,12.91,36.93,42.66,14.41,13.87,14.89,14.72,6.99,6.71,"2004-2005","REG",82,0,2005
"San Antonio Spurs",96.195,12.91,10.78,41.78,37.49,12.62,13.12,12.59,12.46,5.63,4.68,"2004-2005","REG",82,1,2005
"Toronto Raptors",99.732,11.63,11.71,34,41.9,14.01,13.28,11.48,13.79,6.55,5.48,"2004-2005","REG",82,0,2005
"Utah Jazz",92.988,9.72,13.54,37.02,35.8,14.88,12.66,14.1,12.29,6.72,5.8,"2004-2005","REG",82,0,2005
"Washington Wizards",100.5,15.62,12.18,40.37,40.71,14.56,16.74,16.17,14.84,6.95,6.62,"2004-2005","REG",82,0,2005
"Boston Celtics",87.714,9,8,39.71,23.71,17.71,16.71,10.29,9.71,4,2.86,"2004-2005","POFF",7,0,2005
"Chicago Bulls",102.5,8.83,13.83,35,38,19.17,13.5,16.67,14.67,6.67,5.5,"2004-2005","POFF",6,0,2005
"Dallas Mavericks",107.385,13.92,14.77,37.23,45.23,13.15,9.62,15.54,14.77,7.38,5.69,"2004-2005","POFF",13,0,2005
"Denver Nuggets",90.2,13.2,11.4,40.4,38,12.2,14.2,13.8,10.8,8.6,8.8,"2004-2005","POFF",5,0,2005
"Detroit Pistons",90.32,11.72,9.52,34.8,35.52,12.76,14.92,14.76,10.96,7.96,5.88,"2004-2005","POFF",25,0,2005
