"name","lon","lat","line","direction"
"5008-Elekcyjna",20.951688,52.229663,"10","Wyœcigi"
"3002-Rakowiecka",21.021374,52.209337,"10","Zajezdnia Wola"
"5009-Reduta Wolska",20.941849,52.226582,"10","os.Górczewska"
"7091-rondo ""Rados³awa""",20.983058,52.254053,"17","Tarchomin Koœcielny"
"1122-Stare Œwidry",20.966002,52.313258,"17","Tarchomin Koœcielny"
"6041-W³oœciañska",20.962833,52.266736,"33","Kielecka"
"5035-Klemensiewicza",20.905014,52.239033,"10","os.Górczewska"
"6094-ks.Popie³uszki",20.977384,52.266028,"17","Metro Marymont"
"7088-rondo ONZ",20.998757,52.232442,"33","Kielecka"
"7085-Kino Femina",20.993122,52.242402,"17","Woronicza"
"6011-UKSW",20.949927,52.290463,"17","Tarchomin Koœcielny"
"7090-Nowowiejska",21.004848,52.220582,"10","Wyœcigi"
"7086-Hala Mirowska",20.996044,52.238628,"33","Metro M³ociny"
"6058-Nocznickiego",20.922982,52.284872,"33","Kielecka"
"7005-pl.Politechniki",21.010984,52.220071,"10","os.Górczewska"
"3005-Park Dreszera",21.024111,52.196867,"10","Wyœcigi"
"6025-Cm.Wawrzyszewski",20.928675,52.280108,"33","Metro M³ociny"
"5010-Sowiñskiego",20.936922,52.225559,"10","os.Górczewska"
"5021-Fort Wola",20.929103,52.223419,"10","Królikarnia"
"6005-Metro Marymont",20.972944,52.272008,"17","Metro Marymont"
"5001-Po³czyñska-parking P+R",20.92227,52.221805,"10","Królikarnia"
"3010-NiedŸwiedzia",21.020894,52.17637,"10","os.Górczewska"
"7086-Hala Mirowska",20.995988,52.23862,"17","Woronicza"
"6013-Przy Agorze",20.944971,52.295707,"17","Tarchomin Koœcielny"
"3286-Rakowiecka-Sanktuarium",20.999377,52.205243,"17","Woronicza"
"7094-Biblioteka Narodowa",21.006408,52.212699,"33","Metro M³ociny"
"7085-Kino Femina",20.99407,52.241365,"33","Metro M³ociny"
"7090-Nowowiejska",21.005583,52.220211,"10","os.Górczewska"
"5006-Soko³owska",20.96028,52.232261,"10","Wyœcigi"
"5021-Fort Wola",20.929174,52.223467,"10","os.Górczewska"
"5010-Sowiñskiego",20.936849,52.225493,"10","Królikarnia"
"1521-Œreniawitów",20.966046,52.316095,"17","Tarchomin Koœcielny"
"6040-Sady ¯oliborskie",20.971461,52.26435,"33","Kielecka"
"5050-os.Górczewska",20.900632,52.238637,"10","os.Górczewska"
"5007-os.Wolska",20.955555,52.230882,"10","Wyœcigi"
"3009-Metro Wilanowska",21.02275,52.181429,"10","os.Górczewska"
"7002-Dw.Centralny",21.001595,52.228155,"33","Kielecka"
"7005-pl.Politechniki",21.011252,52.220041,"10","Wyœcigi"
